1970s#n	senseval2.d001.s037.t003	1970s%1:28:00::
account#n	semeval2007.d001.s000.t000	account%1:10:00::
account#v	senseval3.d001.s006.t000	account%2:42:01::
accountability#n	senseval2.d002.s078.t004	accountability%1:07:00::
accumulation#n	senseval2.d001.s007.t002	accumulation%1:22:00::
accumulation#n	semeval2013.d006.s019.t015	accumulation%1:04:00::
acne#n	senseval2.d000.s062.t016	acne%1:26:00::
acquire#v	senseval3.d001.s013.t002	acquire%2:40:00::
act#n	semeval2013.d006.s008.t010	act%1:03:00::
act#v	semeval2015.d003.s012.t002	act%2:41:00::
action#n	senseval3.d001.s009.t016	action%1:04:04::
action#n	senseval3.d001.s010.t010	action%1:04:04::
action#n	semeval2013.d000.s014.t003	action%1:04:04::
action#n	semeval2013.d000.s017.t011	action%1:04:04::
action#n	semeval2013.d000.s018.t005	action%1:04:02::
action#n	semeval2013.d000.s022.t006	action%1:04:04::
action#n	semeval2013.d006.s009.t005	action%1:04:02::
action#n	semeval2013.d006.s009.t007	action%1:04:02::
action#n	semeval2013.d006.s011.t006	action%1:04:02::
action#n	semeval2013.d006.s013.t001	action%1:04:02::
action#n	semeval2013.d006.s013.t007	action%1:04:02::
action#n	semeval2013.d006.s015.t004	action%1:04:02::
action#n	semeval2013.d006.s016.t005	action%1:04:02::
action#n	semeval2013.d006.s019.t007	action%1:04:02::
action#n	semeval2013.d006.s021.t000	action%1:04:02::
action#n	semeval2013.d006.s026.t003	action%1:04:02::
action#n	semeval2013.d009.s014.t003	action%1:04:02::
active#a	senseval2.d000.s046.t005	active%5:00:00:involved:00
active#a	semeval2015.d000.s006.t001	active%3:00:07::
active#a	semeval2015.d000.s022.t000	active%3:00:07::
active#a	semeval2015.d000.s023.t002	active%3:00:07::
active#a	semeval2015.d003.s003.t001	active%3:00:07::
activist#n	semeval2013.d000.s025.t003	activist%1:18:00::
activist#n	semeval2013.d009.s003.t010	activist%1:18:00::
activist#n	semeval2013.d009.s016.t005	activist%1:18:00::
activist#n	semeval2013.d009.s021.t001	activist%1:18:00::
activity#n	senseval3.d001.s039.t016	activity%1:04:00::
activity#n	semeval2007.d002.s050.t007	activity%1:04:00::
activity#n	semeval2015.d000.s023.t005	activity%1:22:00::
actor#n	semeval2015.d002.s001.t008	actor%1:18:01::
actually#r	senseval2.d001.s044.t001	actually%4:02:00::
actually#r	senseval2.d002.s070.t000	actually%4:02:01::
actually#r	semeval2015.d001.s002.t000	actually%4:02:02::
adaptation#n	semeval2013.d005.s028.t004	adaptation%1:22:00::
add#v	senseval2.d000.s031.t001	add%2:32:01::
add#v	senseval2.d000.s056.t007	add%2:32:01::
add#v	senseval2.d002.s075.t006	add%2:31:00::
add#v	semeval2015.d001.s047.t000	add%2:30:00::
add#v	semeval2015.d001.s047.t006	add%2:30:00::
add#v	semeval2015.d001.s047.t007	add%2:30:00::
add#v	semeval2015.d001.s052.t002	add%2:30:00::
addiction#n	semeval2007.d000.s020.t001	addiction%1:26:00::
addition#n	semeval2013.d006.s019.t006	addition%1:21:00::
addition#n	semeval2013.d008.s017.t000	addition%1:23:00::
addition#n	semeval2015.d001.s012.t000	addition%1:04:01::
additional#a	senseval3.d001.s041.t000	additional%5:00:03:additive:00
address#n	senseval3.d000.s055.t001	address%1:10:02::
address#v	semeval2015.d003.s019.t011	address%2:34:00::
administer#v	senseval2.d001.s092.t001	administer%2:29:00::
administer#v	semeval2015.d003.s018.t003	administer%2:29:00::
administer#v	semeval2015.d003.s021.t003	administer%2:29:00::
administration#n	semeval2013.d009.s023.t001	administration%1:14:00::
administrative#a	senseval2.d002.s062.t005	administrative%3:01:00::
admit#v	senseval2.d000.s032.t003	admit%2:32:00::
admit#v	senseval2.d000.s046.t000	admit%2:32:00::
adolescent#a	senseval2.d002.s014.t003	adolescent%3:01:00::
advance#n	senseval2.d001.s027.t003	advance%1:11:01::
advance#n	semeval2013.d000.s003.t000	advance%1:11:01::
advance#v	senseval2.d000.s029.t004	advance%2:38:01::
advanced#a	semeval2015.d000.s009.t022	advanced%5:00:00:late:02
advanced#a	semeval2015.d000.s027.t011	advanced%5:00:00:late:02
advantage#n	senseval3.d001.s041.t008	advantage%1:07:00::
advantage#n	semeval2013.d006.s011.t000	advantage%1:07:01::
advantage#n	semeval2013.d006.s012.t000	advantage%1:07:01::
advantage#n	semeval2013.d006.s012.t004	advantage%1:07:01::
advantage#n	semeval2013.d006.s015.t002	advantage%1:07:01::
advantage#n	semeval2013.d006.s018.t000	advantage%1:07:01::
advantage#n	semeval2013.d006.s019.t001	advantage%1:07:01::
advantage#n	semeval2013.d006.s020.t001	advantage%1:07:01::
advantage#n	semeval2013.d006.s021.t004	advantage%1:07:01::
advent#n	senseval3.d001.s019.t008	advent%1:04:00::
advertise#v	semeval2007.d000.s029.t002	advertise%2:32:00::
advice#n	semeval2013.d003.s013.t003	advice%1:10:00::
adviser#n	semeval2013.d000.s019.t005	adviser%1:18:00::
advocate#v	senseval2.d002.s047.t000	advocate%2:32:00::
affairs#n	semeval2015.d002.s004.t006	affairs%1:04:00::
affect#v	semeval2015.d000.s009.t027	affect%2:29:00::
affect#v	semeval2015.d000.s036.t005	affect%2:29:00::
affect#v	semeval2015.d000.s037.t003	affect%2:29:00::
after#r	semeval2015.d000.s017.t010	after%4:02:01::
afternoon#n	senseval3.d000.s080.t000	afternoon%1:28:00::
aftershock#n	senseval3.d002.s057.t002	aftershock%1:11:00::
aftershock#n	senseval3.d002.s059.t002	aftershock%1:11:00::
aftershock#n	senseval3.d002.s076.t001	aftershock%1:11:00::
aftershock#n	senseval3.d002.s088.t006	aftershock%1:11:00::
aftershock#n	senseval3.d002.s131.t003	aftershock%1:11:00::
afterward#r	senseval2.d002.s049.t009	afterward%4:02:00::
again#r	semeval2015.d003.s017.t012	again%4:02:00::
age#n	senseval2.d001.s017.t011	age%1:28:02::
age#n	semeval2013.d011.s022.t006	age%1:07:00::
age#n	semeval2015.d002.s015.t004	age%1:07:00::
age#n	semeval2015.d002.s016.t009	age%1:07:00::
age#n	semeval2015.d002.s017.t007	age%1:07:00::
age#n	semeval2015.d002.s019.t005	age%1:07:00::
age#n	semeval2015.d002.s020.t004	age%1:07:00::
age#v	semeval2015.d002.s009.t013	age%2:30:01::
agent#n	senseval3.d001.s009.t005	agent%1:18:02::
ago#r	senseval2.d000.s015.t004	ago%4:02:00::
ago#r	senseval2.d000.s018.t005	ago%4:02:00::
ago#r	senseval2.d000.s038.t001	ago%4:02:00::
ago#r	senseval2.d001.s006.t002	ago%4:02:00::
agree#v	senseval3.d002.s141.t000	agree%2:32:00::
agreeable#a	senseval2.d002.s018.t007	agreeable%3:00:00::
ahead#r	senseval2.d000.s025.t004	ahead%4:02:00::
ahead#r	senseval2.d000.s027.t005	ahead%4:02:00::
aid#n	semeval2007.d002.s049.t004	aid%1:04:00::
aim#v	senseval2.d000.s049.t003	aim%2:31:00::
aim#v	semeval2015.d002.s015.t001	aim%2:31:01::
air#n	senseval3.d002.s024.t009	air%1:27:00::
air#n	senseval3.d002.s120.t006	air%1:15:00::
air#n	semeval2007.d002.s036.t002	air%1:27:00::
air#n	semeval2007.d002.s050.t012	air%1:27:00::
alarm#n	senseval3.d002.s030.t002	alarm%1:10:00::
alert#a	senseval3.d000.s120.t010	alert%3:00:00::
alibi#n	senseval3.d000.s155.t005	alibi%1:10:00::
alive#a	senseval3.d000.s071.t007	alive%3:00:01::
alive#a	senseval3.d000.s074.t001	alive%3:00:01::
alive#a	senseval3.d002.s140.t013	alive%3:00:01::
all#r	senseval2.d002.s022.t000	all%4:02:00::
allocate#v	senseval3.d001.s034.t005	allocate%2:40:00::
allocate#v	senseval3.d001.s039.t003	allocate%2:40:00::
allow#v	senseval2.d002.s015.t005	allow%2:41:00::
allow#v	senseval2.d002.s065.t004	allow%2:42:07::
almost#r	senseval2.d001.s032.t011	almost%4:02:00::
almost#r	senseval2.d002.s004.t009	almost%4:02:00::
alone#a	semeval2015.d000.s009.t007	alone%5:00:00:exclusive:00
alone#r	senseval2.d001.s035.t003	alone%4:02:00::
alone#r	semeval2015.d000.s026.t003	alone%4:02:01::
alone#r	semeval2015.d000.s032.t007	alone%4:02:01::
already#r	senseval2.d001.s004.t000	already%4:02:00::
already#r	senseval2.d001.s090.t000	already%4:02:00::
already#r	senseval2.d002.s062.t003	already%4:02:00::
also#r	senseval2.d000.s006.t000	also%4:02:00::
also#r	senseval2.d000.s052.t001	also%4:02:00::
also#r	senseval2.d000.s054.t000	also%4:02:00::
also#r	senseval2.d001.s039.t006	also%4:02:00::
also#r	senseval2.d001.s058.t003	also%4:02:00::
also#r	senseval2.d001.s085.t003	also%4:02:00::
also#r	senseval2.d001.s088.t004	also%4:02:00::
also#r	senseval2.d002.s015.t009	also%4:02:00::
also#r	senseval2.d002.s020.t000	also%4:02:00::
also#r	senseval2.d002.s036.t000	also%4:02:00::
also#r	semeval2015.d000.s002.t009	also%4:02:00::
also#r	semeval2015.d000.s003.t008	also%4:02:00::
also#r	semeval2015.d000.s017.t007	also%4:02:00::
also#r	semeval2015.d000.s020.t005	also%4:02:00::
also#r	semeval2015.d000.s028.t000	also%4:02:00::
also#r	semeval2015.d001.s014.t000	also%4:02:00::
also#r	semeval2015.d002.s003.t001	also%4:02:00::
also#r	semeval2015.d002.s007.t007	also%4:02:00::
also#r	semeval2015.d002.s012.t004	also%4:02:00::
also#r	semeval2015.d002.s016.t002	also%4:02:00::
also#r	semeval2015.d002.s020.t001	also%4:02:00::
also#r	semeval2015.d003.s009.t008	also%4:02:00::
also#r	semeval2015.d003.s019.t000	also%4:02:00::
altar#n	senseval2.d000.s044.t009	altar%1:06:01::
alter#v	senseval2.d000.s020.t008	alter%2:30:00::
alter#v	senseval2.d001.s007.t003	alter%2:30:01::
alternative#n	semeval2015.d002.s018.t001	alternative%1:09:00::
always#r	senseval2.d000.s004.t007	always%4:02:00::
always#r	senseval2.d000.s054.t002	always%4:02:00::
amazing#a	senseval3.d002.s087.t000	amazing%5:00:00:surprising:00
amazing#a	senseval3.d002.s128.t000	amazing%5:00:00:surprising:00
ambitious#a	senseval2.d002.s057.t007	ambitious%3:00:00::
amble#v	semeval2007.d002.s029.t006	amble%2:38:00::
america#n	semeval2013.d000.s015.t003	america%1:15:00::
american#a	senseval2.d002.s006.t002	american%3:01:01::
american#a	senseval2.d002.s015.t000	american%3:01:01::
american#a	senseval2.d002.s039.t002	american%3:01:01::
american#a	senseval2.d002.s074.t001	american%3:01:01::
american#a	senseval2.d002.s074.t013	american%3:01:01::
american#n	senseval2.d001.s032.t012	american%1:18:00::
american#n	senseval3.d001.s007.t008	american%1:18:00::
american#n	semeval2013.d011.s020.t008	american%1:18:00::
amount#n	semeval2013.d004.s002.t005	amount%1:21:00::
amount#n	semeval2013.d004.s006.t001	amount%1:21:00::
amount#n	semeval2013.d006.s005.t005	amount%1:21:00::
anaesthetist#n	semeval2013.d011.s018.t004	anaesthetist%1:18:00::
analyse#v	semeval2015.d002.s011.t001	analyse%2:31:04::
analyse#v	semeval2015.d002.s015.t009	analyse%2:31:04::
analyst#n	semeval2013.d002.s006.t008	analyst%1:18:02::
analyst#n	semeval2013.d003.s007.t005	analyst%1:18:02::
analyst#n	semeval2013.d003.s010.t011	analyst%1:18:00::
analyze#v	senseval2.d001.s049.t000	analyze%2:31:00::
ancient#a	senseval2.d000.s003.t005	ancient%5:00:00:old:02
ancient#a	senseval2.d000.s016.t002	ancient%5:00:00:past:00
angle#n	semeval2007.d001.s012.t004	angle%1:09:00::
angry#a	senseval3.d000.s016.t006	angry%3:00:00::
animal#n	semeval2015.d003.s017.t006	animal%1:03:00::
animal#n	semeval2015.d003.s022.t006	animal%1:03:00::
announce#v	senseval2.d002.s045.t005	announce%2:32:02::
announcement#n	semeval2013.d007.s011.t000	announcement%1:10:01::
annoyance#n	senseval3.d000.s137.t002	annoyance%1:12:00::
annoying#a	senseval3.d000.s095.t001	annoying%5:00:00:disagreeable:00
answer#n	senseval2.d001.s047.t008	answer%1:10:02::
answer#n	senseval2.d002.s006.t009	answer%1:10:01::
answer#n	senseval3.d000.s002.t002	answer%1:04:00::
answer#n	senseval3.d000.s031.t006	answer%1:10:00::
answer#v	senseval3.d000.s114.t002	answer%2:32:00::
answer#v	semeval2007.d001.s003.t003	answer%2:31:03::
anticancer#a	senseval2.d001.s008.t006	anticancer%3:01:00::
anticancer#a	semeval2015.d000.s009.t002	anticancer%3:01:00::
anticancer#a	semeval2015.d000.s013.t005	anticancer%3:01:00::
anticancer#a	semeval2015.d000.s027.t005	anticancer%3:01:00::
anticancer#a	semeval2015.d000.s028.t002	anticancer%3:01:00::
anticipated#a	senseval2.d001.s090.t009	anticipated%5:00:00:expected:00
antiemetic#n	semeval2015.d003.s007.t000	antiemetic%1:06:00::
antimetabolite#n	semeval2015.d000.s022.t011	antimetabolite%1:06:00::
apartment#n	senseval3.d000.s068.t003	apartment%1:06:00::
apartment#n	senseval3.d000.s085.t000	apartment%1:06:00::
apartment#n	senseval3.d002.s036.t002	apartment%1:06:00::
appeal#n	semeval2013.d005.s000.t000	appeal%1:04:00::
appeal#n	semeval2013.d005.s005.t003	appeal%1:04:00::
appeal#n	semeval2013.d005.s007.t001	appeal%1:04:00::
appeal#n	semeval2013.d005.s016.t001	appeal%1:04:00::
appeals_court#n	semeval2013.d005.s011.t001	appeals_court%1:14:00::
appeals_court#n	semeval2013.d005.s014.t001	appeals_court%1:14:00::
appeals_court#n	semeval2013.d005.s028.t001	appeals_court%1:14:00::
appear#v	senseval2.d001.s035.t005	appear%2:39:01::
appear#v	senseval3.d000.s035.t002	appear%2:30:00::
appear#v	senseval3.d001.s018.t002	appear%2:39:01::
appear#v	senseval3.d001.s043.t000	appear%2:39:00::
appearance#n	semeval2013.d009.s019.t000	appearance%1:04:00::
applause#n	semeval2013.d001.s007.t005	applause%1:10:00::
application#n	semeval2013.d006.s022.t002	application%1:04:02::
appreciate#v	senseval2.d002.s075.t001	appreciate%2:31:00::
appreciate#v	senseval3.d001.s020.t011	appreciate%2:37:00::
appreciation#n	senseval3.d000.s118.t005	appreciation%1:10:00::
area#n	senseval2.d001.s049.t011	area%1:06:00::
area#n	senseval3.d002.s035.t000	area%1:15:01::
area#n	semeval2007.d001.s011.t001	area%1:15:01::
area#n	semeval2013.d010.s008.t002	area%1:26:00::
argument#n	semeval2013.d005.s005.t004	argument%1:10:02::
argument#n	semeval2013.d005.s014.t005	argument%1:10:02::
argument#n	semeval2013.d005.s022.t000	argument%1:10:02::
argument#n	semeval2013.d005.s028.t002	argument%1:10:02::
argument#n	semeval2013.d009.s004.t003	argument%1:10:00::
arise#v	senseval2.d001.s015.t008	arise%2:42:00::
arise#v	senseval2.d001.s058.t004	arise%2:42:00::
arithmetic#a	semeval2015.d001.s001.t005	arithmetic%3:01:00::
arm#n	senseval3.d000.s017.t003	arm%1:08:00::
array#n	senseval2.d001.s002.t005	array%1:10:00::
arrest#v	semeval2007.d001.s027.t002	arrest%2:35:00::
arrival#n	semeval2013.d011.s018.t007	arrival%1:04:01::
arsenic#n	semeval2013.d007.s001.t002	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s004.t001	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s007.t003	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s017.t004	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s018.t000	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s019.t000	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s021.t000	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s022.t003	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s023.t002	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s023.t005	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s023.t009	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s024.t003	arsenic%1:27:00::
arsenic#n	semeval2013.d007.s025.t000	arsenic%1:27:00::
art#n	senseval2.d000.s000.t000	art%1:09:00::
art#n	senseval2.d000.s016.t003	art%1:09:00::
article#n	senseval2.d002.s075.t014	article%1:10:00::
as#r	senseval2.d001.s083.t002	as%4:02:00::
as#r	senseval2.d002.s011.t015	as%4:02:00::
as#r	senseval2.d002.s013.t008	as%4:02:00::
as#r	semeval2015.d000.s033.t004	as%4:02:00::
as#r	semeval2015.d000.s033.t006	as%4:02:00::
as_a_matter_of_fact#r	senseval3.d000.s015.t000	as_a_matter_of_fact%4:02:00::
as_far_as_possible#r	senseval3.d000.s099.t005	as_far_as_possible%4:02:01::
as_usual#r	senseval3.d000.s071.t008	as_usual%4:02:00::
as_well#r	semeval2015.d002.s001.t016	as_well%4:02:01::
asbestos#n	semeval2015.d000.s008.t012	asbestos%1:27:00::
ascend#v	semeval2007.d002.s019.t000	ascend%2:38:02::
ascend#v	semeval2007.d002.s040.t000	ascend%2:38:02::
ask#v	senseval2.d002.s006.t000	ask%2:42:00::
ask#v	senseval3.d000.s078.t004	ask%2:32:00::
ask#v	senseval3.d000.s086.t004	ask%2:32:02::
ask#v	senseval3.d000.s113.t004	ask%2:32:02::
ask#v	semeval2007.d002.s000.t002	ask%2:32:00::
ask#v	semeval2015.d001.s027.t001	ask%2:32:04::
aspect#n	semeval2013.d006.s011.t005	aspect%1:07:02::
aspect#n	semeval2013.d011.s001.t002	aspect%1:07:02::
aspirin#n	senseval3.d000.s071.t001	aspirin%1:06:00::
assertion#n	semeval2007.d000.s026.t002	assertion%1:10:01::
assess#v	semeval2015.d000.s001.t006	assess%2:31:00::
assess#v	semeval2015.d002.s005.t007	assess%2:31:00::
assess#v	semeval2015.d002.s011.t009	assess%2:31:00::
assess#v	semeval2015.d002.s017.t002	assess%2:31:00::
assess#v	semeval2015.d003.s001.t006	assess%2:31:00::
assessment#n	semeval2015.d000.s000.t004	assessment%1:04:00::
assessment#n	semeval2015.d003.s000.t004	assessment%1:09:00::
asset#n	semeval2013.d011.s011.t004	asset%1:07:00::
assimilate#v	senseval2.d002.s042.t005	assimilate%2:31:00::
assistance#n	semeval2007.d001.s016.t002	assistance%1:04:00::
assistance#n	semeval2013.d009.s019.t001	assistance%1:04:00::
assistant_professor#n	semeval2013.d007.s024.t000	assistant_professor%1:18:00::
associate#v	senseval3.d001.s020.t018	associate%2:31:00::
associate#v	semeval2015.d003.s020.t001	associate%2:31:00::
assume#v	senseval2.d001.s045.t000	assume%2:31:00::
assumption#n	senseval3.d001.s008.t002	assumption%1:10:00::
assumption#n	senseval3.d001.s012.t000	assumption%1:10:00::
assumption#n	senseval3.d001.s033.t004	assumption%1:10:00::
assumption#n	senseval3.d001.s036.t002	assumption%1:10:00::
assumption#n	semeval2013.d006.s022.t000	assumption%1:09:00::
astrobiology#n	semeval2013.d007.s017.t001	astrobiology%1:09:00::
at_the_same_time#r	senseval2.d001.s084.t000	at_the_same_time%4:02:05::
atmosphere#n	semeval2013.d005.s006.t005	atmosphere%1:26:01::
atmosphere#n	semeval2013.d005.s012.t009	atmosphere%1:26:01::
attach#v	senseval2.d000.s005.t006	attach%2:35:02::
attack#v	senseval2.d000.s052.t002	attack%2:30:00::
attempt#n	senseval3.d001.s027.t010	attempt%1:04:00::
attempt#n	semeval2007.d002.s002.t002	attempt%1:04:00::
attempt#n	semeval2015.d002.s002.t004	attempt%1:04:00::
attend#v	senseval2.d000.s037.t011	attend%2:42:00::
attend#v	senseval2.d000.s038.t006	attend%2:42:00::
attend#v	semeval2015.d002.s001.t003	attend%2:42:00::
attend_to#v	senseval3.d001.s010.t020	attend_to%2:31:00::
attendance#n	senseval2.d000.s042.t006	attendance%1:04:00::
attendance#n	senseval3.d001.s036.t006	attendance%1:04:00::
attendance#n	senseval3.d001.s038.t001	attendance%1:04:00::
attendance#n	senseval3.d001.s038.t005	attendance%1:04:00::
attendance#n	semeval2013.d009.s010.t000	attendance%1:04:00::
attendant#a	senseval3.d001.s009.t026	attendant%5:00:00:subsequent:00
attention#n	senseval2.d001.s057.t002	attention%1:09:01::
attention#n	semeval2015.d002.s016.t005	attention%1:09:00::
attitude#n	semeval2013.d008.s005.t002	attitude%1:09:00::
attitude#n	semeval2013.d008.s008.t002	attitude%1:09:00::
attorney#n	semeval2013.d009.s018.t002	attorney%1:18:00::
attract#v	senseval2.d000.s055.t002	attract%2:35:00::
attract#v	senseval3.d001.s025.t006	attract%2:35:00::
attract#v	semeval2007.d002.s010.t002	attract%2:35:00::
attraction#n	semeval2007.d002.s013.t001	attraction%1:07:00::
attractive#a	senseval2.d002.s012.t005	attractive%3:00:01::
attribute#v	senseval3.d001.s040.t013	attribute%2:31:00::
auction#n	semeval2013.d003.s001.t006	auction%1:04:00::
auction#n	semeval2013.d003.s004.t001	auction%1:04:00::
audacious#a	senseval2.d001.s054.t000	audacious%5:00:00:adventurous:00
author#n	semeval2007.d001.s003.t001	author%1:18:00::
author#n	semeval2007.d001.s026.t003	author%1:18:00::
author#n	semeval2007.d001.s028.t001	author%1:18:00::
authoritarian#a	senseval2.d002.s011.t009	authoritarian%5:00:00:domineering:00
authority#n	senseval2.d002.s076.t006	authority%1:07:00::
authority#n	senseval2.d002.s078.t000	authority%1:07:00::
authority#n	semeval2015.d002.s001.t011	authority%1:18:01::
auto#n	senseval3.d002.s024.t000	auto%1:06:00::
autumn#n	senseval2.d000.s006.t009	autumn%1:28:00::
autumn#n	semeval2015.d002.s014.t007	autumn%1:28:00::
available#a	semeval2015.d003.s003.t003	available%3:00:00::
avenue#n	senseval3.d002.s011.t000	avenue%1:06:00::
average#a	senseval2.d000.s062.t006	average%5:00:00:common:01
average#a	semeval2015.d000.s034.t004	average%5:00:02:normal:01
average#a	semeval2015.d000.s035.t005	average%5:00:02:normal:01
average#n	semeval2013.d008.s012.t007	average%1:09:00::
average#n	semeval2013.d011.s022.t010	average%1:09:00::
average#n	semeval2015.d000.s032.t003	average%1:09:01::
average#v	semeval2007.d002.s038.t001	average%2:41:00::
award#v	semeval2007.d001.s007.t003	award%2:40:01::
aware#a	senseval3.d000.s105.t009	aware%3:00:00::
away#r	senseval2.d000.s012.t007	away%4:02:00::
away#r	senseval2.d002.s049.t013	away%4:02:09::
baby#n	senseval2.d001.s020.t013	baby%1:18:00::
baby#n	senseval2.d001.s021.t009	baby%1:18:00::
back#n	senseval3.d000.s113.t009	back%1:08:00::
back#n	senseval3.d002.s058.t000	back%1:08:00::
back#r	senseval2.d000.s061.t012	back%4:02:04::
back#r	senseval2.d001.s041.t000	back%4:02:01::
back#v	senseval3.d001.s000.t004	back%2:41:00::
background#n	semeval2015.d002.s011.t002	background%1:26:00::
background#n	semeval2015.d002.s019.t002	background%1:07:00::
backing#n	semeval2013.d008.s001.t003	backing%1:04:00::
backyard#n	senseval3.d002.s119.t000	backyard%1:06:00::
bacterium#n	semeval2013.d007.s001.t001	bacterium%1:05:00::
bacterium#n	semeval2013.d007.s002.t001	bacterium%1:05:00::
bacterium#n	semeval2013.d007.s007.t001	bacterium%1:05:00::
bacterium#n	semeval2013.d007.s022.t001	bacterium%1:05:00::
bad#a	senseval2.d002.s050.t009	bad%5:00:00:harmful:00
badly#r	senseval2.d000.s062.t013	badly%4:02:00::
balanced#a	senseval2.d000.s061.t004	balanced%3:00:00::
balloon#n	semeval2007.d002.s010.t003	balloon%1:06:00::
balloon#n	semeval2007.d002.s011.t000	balloon%1:06:00::
balloon#n	semeval2007.d002.s027.t003	balloon%1:06:00::
balloon#n	semeval2007.d002.s039.t000	balloon%1:06:00::
balloon#n	semeval2007.d002.s050.t001	balloon%1:06:00::
balloon#v	semeval2007.d002.s006.t000	balloon%2:38:00::
balloon#v	semeval2007.d002.s017.t002	balloon%2:38:00::
banality#n	semeval2013.d011.s010.t001	banality%1:10:00::
band#n	senseval2.d000.s007.t008	band%1:14:00::
band#n	senseval2.d000.s032.t005	band%1:14:00::
band#n	senseval2.d000.s038.t010	band%1:14:00::
band#n	senseval2.d000.s040.t001	band%1:14:00::
bang#n	senseval2.d000.s045.t004	bang%1:11:00::
bang#n	senseval2.d000.s045.t005	bang%1:11:00::
bang#n	senseval2.d000.s045.t006	bang%1:11:00::
bank#n	semeval2013.d004.s000.t000	bank%1:14:00::
bank#n	semeval2013.d004.s001.t001	bank%1:14:00::
bank#n	semeval2013.d004.s002.t002	bank%1:14:00::
bank#n	semeval2013.d004.s007.t000	bank%1:14:00::
bank#n	semeval2013.d004.s008.t000	bank%1:14:00::
bank#n	semeval2013.d004.s008.t004	bank%1:14:00::
bank#n	semeval2013.d004.s010.t002	bank%1:14:00::
bank#n	semeval2013.d012.s004.t002	bank%1:14:00::
bank#n	semeval2013.d012.s007.t000	bank%1:14:00::
bank#n	semeval2013.d012.s009.t002	bank%1:14:00::
bank#n	semeval2013.d012.s013.t001	bank%1:14:00::
bank#n	semeval2013.d012.s018.t000	bank%1:14:00::
bank#n	semeval2013.d012.s021.t000	bank%1:14:00::
bank#n	semeval2013.d012.s023.t001	bank%1:14:00::
banking#n	semeval2015.d002.s007.t005	banking%1:04:01::
bankruptcy#n	semeval2013.d012.s002.t009	bankruptcy%1:26:00::
bankruptcy#n	semeval2013.d012.s010.t002	bankruptcy%1:26:00::
bar#n	senseval3.d000.s025.t004	bar%1:06:04::
bar#n	senseval3.d000.s098.t001	bar%1:06:04::
bar#n	senseval3.d000.s111.t002	bar%1:06:04::
barrel#n	semeval2013.d003.s018.t003	barrel%1:23:01::
barrier#n	semeval2015.d002.s015.t005	barrier%1:09:00::
barrier#n	semeval2015.d002.s016.t010	barrier%1:09:00::
barrier#n	semeval2015.d002.s017.t008	barrier%1:09:00::
